ons_id;ons_region_id;constituency_name;county_name;region_name;country_name;constituency_type;declaration_time;mp_firstname;mp_surname;mp_gender;result;first_party;second_party;electorate;valid_votes;invalid_votes;majority;con;lab;ld;brexit;green;snp;pc;dup;sf;sdlp;uup;alliance;other;other_winner;mp_fullname;majority_percent;majority_rank;turnout_const;turnout_reg;turnout_uk;turnout_2017
E14000600;E12000009;Bristol North West;Avon;South West;England;Borough;12/13/19 3:24;Darren;Jones;Male;Lab hold;Lab;Con;76273;55885;169;5692;21638;27330;4940;0;1977;0;0;0;0;0;0;0;0;0;Darren Jones;0,101852017536011;506;0,732697022537464;0,720191104120187;0,673108310793613;0,717130206538166
E14000601;E12000009;Bristol South;Avon;South West;England;Borough;12/13/19 3:30;Karin;Smyth;Female;Lab hold;Lab;Con;84079;55196;181;9859;18036;27895;4227;2325;2713;0;0;0;0;0;0;0;0;0;Karin Smyth;0,178618015798246;398;0,656477836320603;0,720191104120187;0,673108310793613;0,655110104563196
E14000602;E12000009;Bristol West;Avon;South West;England;Borough;12/13/19 3:52;Thangam;Debbonaire;Female;Lab hold;Lab;Green;99253;75528;355;28219;8822;47028;0;869;18809;0;0;0;0;0;0;0;0;0;Thangam Debbonaire;0,373623027221693;152;0,760964404098617;0,720191104120187;0,673108310793613;0,769953657408901
E14000603;E12000006;Broadland;Norfolk;East;England;County;12/13/19 5:06;Jerome;Mayhew;Male;Con hold;Con;Lab;78151;56977;197;21861;33934;12073;9195;0;1412;0;0;0;0;0;0;0;363;0;Jerome Mayhew;0,383681134492866;140;0,729062967844301;0,682459959038198;0,673108310793613;0,723756691752657
E14000604;E12000007;Bromley and Chislehurst;London;London;England;Borough;12/13/19 4:07;Robert;Neill;Male;Con hold;Con;Lab;66697;45566;201;10891;23958;13067;6621;0;1546;0;0;0;0;0;0;0;374;0;Robert Neill;0,23901593293245;323;0,683179153485164;0,67469636048204;0,673108310793613;0,71658706635748
E14000605;E12000005;Bromsgrove;Hereford and Worcester;West Midlands;England;County;12/13/19 3:08;Sajid;Javid;Male;Con hold;Con;Lab;75078;54272;260;23106;34408;11302;6779;0;1783;0;0;0;0;0;0;0;0;0;Sajid Javid;0,425744398584906;91;0,7228748767948;0,646625390348285;0,673108310793613;0,734528550651751
E14000606;E12000006;Broxbourne;Hertfordshire;East;England;Borough;12/13/19 1:15;Charles;Walker;Male;Con hold;Con;Lab;73182;46706;214;19807;30631;10824;3970;0;1281;0;0;0;0;0;0;0;0;0;Charles Walker;0,424078276880915;94;0,638217047907956;0,682459959038198;0,673108310793613;0,646036842534897
E14000607;E12000004;Broxtowe;Nottinghamshire;East Midlands;England;County;12/13/19 3:37;Darren;Henry;Male;Con hold;Con;Lab;73052;55272;173;5331;26602;21271;0;0;1806;0;0;0;0;0;0;0;5593;0;Darren Henry;0,0964502822405558;519;0,75661172863166;0,671701751982193;0,673108310793613;0,749976355505114
E14000608;E12000008;Buckingham;Buckinghamshire;South East;England;County;12/13/19 5:42;Greg;Smith;Male;Con gain from Spk;Con;LD;83146;63458;241;20411;37035;7638;16624;1286;0;0;0;0;0;0;0;0;875;0;Greg Smith;0,321645812978663;227;0,763211699901378;0,702066082349098;0,673108310793613;0,66167179551592
E14000609;E12000002;Burnley;Lancashire;North West;England;Borough;12/13/19 2:45;Antony;Higginbotham;Male;Con gain from Lab;Con;Lab;64345;38984;91;1352;15720;14368;3501;3362;739;0;0;0;0;0;0;0;1294;0;Antony Higginbotham;0,0346808947260415;603;0,605859041106535;0,656235607475574;0,673108310793613;0,622633636742957
E14000610;E12000005;Burton;Staffordshire;West Midlands;England;County;12/13/19 3:14;Kate;Griffiths;Female;Con hold;Con;Lab;75036;48738;212;14496;29560;15064;2681;0;1433;0;0;0;0;0;0;0;0;0;Kate Griffiths;0,297427058968361;250;0,649528226451303;0,646625390348285;0,673108310793613;0,674892500743706
E14000611;E12000002;Bury North;Greater Manchester;North West;England;Borough;12/13/19 5:25;James;Daly;Male;Con gain from Lab;Con;Lab;68802;46841;111;105;21660;21555;1584;1240;802;0;0;0;0;0;0;0;0;0;James Daly;0,002241625926005;649;0,680808697421587;0,656235607475574;0,673108310793613;0,708833974548683
E14000612;E12000002;Bury South;Greater Manchester;North West;England;Borough;12/13/19 3:43;Christian;Wakeford;Male;Con gain from Lab;Con;Lab;75152;50274;103;402;22034;21632;2315;1672;848;0;0;0;0;0;0;0;1773;0;Christian Wakeford;0,00799618092851176;641;0,668964232488823;0,656235607475574;0,673108310793613;0,691718103506749
E14000613;E12000006;Bury St Edmunds;Suffolk;East;England;County;12/13/19 3:31;Jo;Churchill;Female;Con hold;Con;Lab;89644;61957;288;24988;37770;12782;0;0;9711;0;0;0;0;0;0;0;1694;0;Jo Churchill;0,403311974433882;120;0,691144973450538;0,682459959038198;0,673108310793613;0,722194467358344
W07000076;W92000004;Caerphilly;Gwent and Mid Glamorgan;Wales;Wales;County;12/13/19 1:42;Wayne;David;Male;Lab hold;Lab;Con;63166;40117;160;6833;11185;18018;0;4490;0;0;6424;0;0;0;0;0;0;0;Wayne David;0,170326794127178;410;0,635104328277871;0,665721049768388;0,673108310793613;0,641447010764045
S14000009;S92000003;Caithness, Sutherland and Easter Ross;Scotland;Scotland;Scotland;County;12/13/19 5:25;Jamie;Stone;Male;LD hold;LD;SNP;46930;31457;61;204;5176;1936;11705;1139;0;11501;0;0;0;0;0;0;0;0;Jamie Stone;0,00648504307467336;643;0,670296185808651;0,680735968118871;0,673108310793613;0,659319791755569
E14000614;E12000003;Calder Valley;West Yorkshire;Yorkshire and The Humber;England;County;12/13/19 4:46;Craig;Whittaker;Male;Con hold;Con;Lab;79287;57793;273;5774;29981;24207;2884;0;0;0;0;0;0;0;0;0;721;0;Craig Whittaker;0,0999082933919333;511;0,728908900576387;0,643471527266342;0,673108310793613;0,734442406224303
E14000615;E12000007;Camberwell and Peckham;London;London;England;Borough;12/13/19 3:56;Harriet;Harman;Female;Lab hold;Lab;Con;88971;56492;246;33780;6478;40258;5087;1041;3501;0;0;0;0;0;0;0;127;0;Harriet Harman;0,597960773206826;19;0,634948466354205;0,67469636048204;0,673108310793613;0,670599091259505
E14000616;E12000009;Camborne and Redruth;Cornwall;South West;England;County;12/13/19 3:03;George;Eustice;Male;Con hold;Con;Lab;70250;50367;175;8700;26764;18064;3504;0;1359;0;0;0;0;0;0;0;676;0;George Eustice;0,172732146048008;406;0,716967971530249;0,720191104120187;0,673108310793613;0,708224323652787
E14000617;E12000006;Cambridge;Cambridgeshire;East;England;Borough;12/13/19 4:09;Daniel;Zeichner;Male;Lab hold;Lab;LD;79951;53729;162;9639;8342;25776;16137;1041;2164;0;0;0;0;0;0;0;269;0;Daniel Zeichner;0,179400323847457;396;0,672024114770297;0,682459959038198;0,673108310793613;0,712135872886535
E14000618;E12000005;Cannock Chase;Staffordshire;West Midlands;England;County;12/13/19 2:19;Amanda;Milling;Female;Con hold;Con;Lab;74813;46313;226;19879;31636;11757;0;0;2920;0;0;0;0;0;0;0;0;0;Amanda Milling;0,429231533262799;85;0,619050165078262;0,646625390348285;0,673108310793613;0,642232358465254
E14000619;E12000008;Canterbury;Kent;South East;England;County;12/13/19 2:34;Rosemary;Duffield;Female;Lab hold;Lab;Con;80203;60113;240;1836;27182;29018;3408;0;0;0;0;0;0;0;0;0;505;0;Rosemary Duffield;0,0305424783324738;610;0,749510616809845;0,702066082349098;0,673108310793613;0,726509938348981
W07000050;W92000004;Cardiff Central;South Glamorgan;Wales;Wales;Borough;12/13/19 3:48;Jo;Stevens;Female;Lab hold;Lab;Con;64037;41822;204;17179;8426;25605;6298;1006;0;0;0;0;0;0;0;0;487;0;Jo Stevens;0,410764669312802;107;0,653091181660602;0,665721049768388;0,673108310793613;0,680862906490352
W07000051;W92000004;Cardiff North;South Glamorgan;Wales;Wales;Borough;12/13/19 4:17;Anna;McMorrin;Female;Lab hold;Lab;Con;68438;52666;111;6982;19082;26064;3580;1311;820;0;1606;0;0;0;0;0;203;0;Anna McMorrin;0,132571298370865;457;0,769543236213799;0,665721049768388;0,673108310793613;0,773895062554856
W07000080;W92000004;Cardiff South and Penarth;South Glamorgan;Wales;Wales;Borough;12/13/19 3:41;Stephen;Doughty;Male;Lab hold;Lab;Con;78837;50579;160;12737;14645;27382;2985;1999;1182;0;2386;0;0;0;0;0;0;0;Stephen Doughty;0,251823879475672;300;0,641564240141051;0,665721049768388;0,673108310793613;0,663224355873933
W07000079;W92000004;Cardiff West;South Glamorgan;Wales;Wales;Borough;12/13/19 4:35;Kevin;Brennan;Male;Lab hold;Lab;Con;68508;46177;144;10986;12922;23908;2731;1619;1133;0;3864;0;0;0;0;0;0;0;Kevin Brennan;0,237910648158174;324;0,674038068546739;0,665721049768388;0,673108310793613;0,69830026207413
E14000620;E12000002;Carlisle;Cumbria;North West;England;County;12/13/19 2:09;John;Stevenson;Male;Con hold;Con;Lab;65105;42873;195;8319;23659;15340;2829;0;0;0;0;0;0;0;0;0;1045;0;John Stevenson;0,19403820586383;371;0,658520850933108;0,656235607475574;0,673108310793613;0,691174109866119
W07000067;W92000004;Carmarthen East and Dinefwr;Dyfed;Wales;Wales;County;12/13/19 3:02;Jonathan;Edwards;Male;PC hold;PC;Con;57419;41002;145;1809;14130;8622;0;2311;0;0;15939;0;0;0;0;0;0;0;Jonathan Edwards;0,0441197990341935;588;0,714084188160713;0,665721049768388;0,673108310793613;0,732974846362727
W07000066;W92000004;Carmarthen West and South Pembrokeshire;Dyfed;Wales;Wales;County;12/13/19 4:21;Simon;Hart;Male;Con hold;Con;Lab;59158;42114;146;7745;22183;14438;1860;0;0;0;3633;0;0;0;0;0;0;0;Simon Hart;0,18390558959016;384;0,711890192366206;0,665721049768388;0,673108310793613;0,721010842653462
E14000621;E12000007;Carshalton and Wallington;London;London;England;Borough;12/13/19 5:23;Elliot;Colburn;Male;Con gain from LD;Con;LD;72941;49098;125;629;20822;6081;20193;1043;759;0;0;0;0;0;0;0;200;0;Elliot Colburn;0,0128111124689397;633;0,67311937045009;0,67469636048204;0,673108310793613;0,716354500416378
E14000622;E12000006;Castle Point;Essex;East;England;Borough;12/13/19 3:26;Rebecca;Harris;Female;Con hold;Con;Lab;69608;44277;296;26634;33971;7337;2969;0;0;0;0;0;0;0;0;0;0;0;Rebecca Harris;0,601531269056169;18;0,636090679232272;0,682459959038198;0,673108310793613;0,643587159925148
S14000010;S92000003;Central Ayrshire;Scotland;Scotland;Scotland;County;12/13/19 4:36;Philippa;Whitford;Female;SNP hold;SNP;Con;69742;46534;105;5304;16182;6583;2283;0;0;21486;0;0;0;0;0;0;0;0;Philippa Whitford;0,113981175054799;483;0,667230650110407;0,680735968118871;0,673108310793613;0,653444252815258
E14000623;E12000009;Central Devon;Devon;South West;England;County;12/13/19 4:50;Mel;Stride;Male;Con hold;Con;Lab;74296;58072;347;17721;32095;14374;8770;0;2833;0;0;0;0;0;0;0;0;0;Mel Stride;0,305155668824907;243;0,781630235813503;0,720191104120187;0,673108310793613;0,777786741965846
E14000624;E12000006;Central Suffolk and North Ipswich;Suffolk;East;England;County;12/13/19 3:52;Dan;Poulter;Male;Con hold;Con;Lab;80037;56250;274;23391;35253;11862;6485;0;2650;0;0;0;0;0;0;0;0;0;Dan Poulter;0,41584;104;0,702799955020803;0,682459959038198;0,673108310793613;0,723590557632239
W07000064;W92000004;Ceredigion;Dyfed;Wales;Wales;County;12/13/19 3:23;Ben;Lake;Male;PC hold;PC;Con;56386;40105;117;6329;8879;6317;6975;2063;663;0;15208;0;0;0;0;0;0;0;Ben Lake;0,157810746789677;428;0,711258113716171;0,665721049768388;0,673108310793613;0,732870148538572
