,areaname,population,date,newcasesbypublishdate,cases_per_100k
5456,Northern Ireland,1885000,01/10/2021,1039,55.11936339522547
1611,North East,2597000,01/10/2021,1122,43.20369657296881
3,East Midlands,4533000,01/10/2021,3457,76.26296051180235
4849,Wales,3136000,01/10/2021,3009,95.95025510204081
3553,South West,5616000,01/11/2020,1248,22.222222222222225
1409,London,8899375,01/11/2020,2056,23.102745979352484
1945,North East,2597000,01/11/2020,1170,45.051983057373896
4625,Yorkshire and the Humber,5486000,01/11/2020,3800,69.26722566532993
5183,Wales,3136000,01/11/2020,819,26.116071428571427
3017,South East,9175000,01/11/2020,1614,17.591280653950953
6390,Scotland,5454000,01/11/2020,1148,21.04877154382105
5790,Northern Ireland,1885000,01/11/2020,685,36.3395225464191
2481,North West,7300000,01/11/2020,4045,55.410958904109584
4089,West Midlands,2928000,01/11/2020,3255,111.16803278688523
873,East of England,5847000,01/11/2020,936,16.008209338122114
337,East Midlands,4533000,01/11/2020,2310,50.95962938451357
6360,Scotland,5454000,01/12/2020,754,13.824715804913824
2987,South East,9175000,01/12/2020,1876,20.446866485013622
4059,West Midlands,2928000,01/12/2020,1435,49.009562841530055
5760,Northern Ireland,1885000,01/12/2020,391,20.74270557029178
1915,North East,2597000,01/12/2020,638,24.56680785521756
5153,Wales,3136000,01/12/2020,667,21.269132653061224
3523,South West,5616000,01/12/2020,687,12.232905982905983
1379,London,8899375,01/12/2020,1964,22.068965517241377
307,East Midlands,4533000,01/12/2020,1075,23.71497904257666
4595,Yorkshire and the Humber,5486000,01/12/2020,1237,22.548304775792925
2451,North West,7300000,01/12/2020,1689,23.136986301369863
843,East of England,5847000,01/12/2020,930,15.905592611595692
1347,London,8899375,02/01/2021,13178,148.07781445326216
4563,Yorkshire and the Humber,5486000,02/01/2021,2754,50.20051039008385
2419,North West,7300000,02/01/2021,4040,55.34246575342466
2955,South East,9175000,02/01/2021,8349,90.99727520435968
5121,Wales,3136000,02/01/2021,2764,88.13775510204081
811,East of England,5847000,02/01/2021,6224,106.4477509834103
275,East Midlands,4533000,02/01/2021,3151,69.51246415177587
4027,West Midlands,2928000,02/01/2021,6421,219.29644808743168
6328,Scotland,5454000,02/01/2021,2137,39.182251558489185
3491,South West,5616000,02/01/2021,3093,55.074786324786324
5728,Northern Ireland,1885000,02/01/2021,3576,189.70822281167108
1883,North East,2597000,02/01/2021,1737,66.88486715440894
244,East Midlands,4533000,02/02/2021,1439,31.744981248621222
3460,South West,5616000,02/02/2021,876,15.598290598290598
1852,North East,2597000,02/02/2021,753,28.994994224104737
6297,Scotland,5454000,02/02/2021,758,13.898056472313899
5090,Wales,3136000,02/02/2021,614,19.57908163265306
4532,Yorkshire and the Humber,5486000,02/02/2021,1059,19.30368209989063
5697,Northern Ireland,1885000,02/02/2021,447,23.713527851458885
2388,North West,7300000,02/02/2021,2319,31.767123287671232
2924,South East,9175000,02/02/2021,1910,20.817438692098094
1316,London,8899375,02/02/2021,2765,31.069597584100006
780,East of England,5847000,02/02/2021,1753,29.981186933470152
3996,West Midlands,2928000,02/02/2021,1962,67.00819672131148
6634,Scotland,5454000,02/03/2020,1,0.018335166850018337
5427,Wales,3136000,02/03/2020,0,0.0
3432,South West,5616000,02/03/2021,276,4.914529914529915
2360,North West,7300000,02/03/2021,889,12.178082191780822
1824,North East,2597000,02/03/2021,305,11.744320369657297
752,East of England,5847000,02/03/2021,495,8.465879938429964
6269,Scotland,5454000,02/03/2021,542,9.937660432709938
1288,London,8899375,02/03/2021,629,7.067912072477
2896,South East,9175000,02/03/2021,805,8.773841961852861
5669,Northern Ireland,1885000,02/03/2021,149,7.904509283819629
216,East Midlands,4533000,02/03/2021,623,13.743657621883962
5062,Wales,3136000,02/03/2021,170,5.420918367346939
3968,West Midlands,2928000,02/03/2021,677,23.121584699453553
4504,Yorkshire and the Humber,5486000,02/03/2021,735,13.397739701057237
5396,Wales,3136000,02/04/2020,284,9.056122448979592
6603,Scotland,5454000,02/04/2020,292,5.353868720205353
6003,Northern Ireland,1885000,02/04/2020,85,4.509283819628647
2865,South East,9175000,02/04/2021,322,3.5095367847411443
6238,Scotland,5454000,02/04/2021,414,7.590759075907592
721,East of England,5847000,02/04/2021,260,4.446724816145032
5031,Wales,3136000,02/04/2021,0,0.0
185,East Midlands,4533000,02/04/2021,353,7.787337304213545
5638,Northern Ireland,1885000,02/04/2021,107,5.676392572944297
1257,London,8899375,02/04/2021,286,3.213708827867125
3401,South West,5616000,02/04/2021,145,2.581908831908832
2329,North West,7300000,02/04/2021,445,6.095890410958904
4473,Yorkshire and the Humber,5486000,02/04/2021,540,9.84323733138899
1793,North East,2597000,02/04/2021,134,5.15979976896419
3937,West Midlands,2928000,02/04/2021,361,12.329234972677597
2128,North East,2597000,02/05/2020,128,4.928763958413554
3736,South West,5616000,02/05/2020,101,1.7984330484330484
3200,South East,9175000,02/05/2020,229,2.4959128065395095
1592,London,8899375,02/05/2020,223,2.5057939462040872
5973,Northern Ireland,1885000,02/05/2020,66,3.50132625994695
1056,East of England,5847000,02/05/2020,273,4.669061056952283
6573,Scotland,5454000,02/05/2020,273,5.005500550055006
2664,North West,7300000,02/05/2020,492,6.73972602739726
4272,West Midlands,2928000,02/05/2020,239,8.162568306010929
4808,Yorkshire and the Humber,5486000,02/05/2020,344,6.270506744440393
5366,Wales,3136000,02/05/2020,183,5.8354591836734695
520,East Midlands,4533000,02/05/2020,125,2.757555702625193
2299,North West,7300000,02/05/2021,245,3.356164383561644
3907,West Midlands,2928000,02/05/2021,130,4.439890710382514
4443,Yorkshire and the Humber,5486000,02/05/2021,259,4.7211082756106455
1227,London,8899375,02/05/2021,216,2.4271367371304167
155,East Midlands,4533000,02/05/2021,124,2.7354952570041915
5608,Northern Ireland,1885000,02/05/2021,69,3.6604774535809024
2835,South East,9175000,02/05/2021,145,1.5803814713896458
5001,Wales,3136000,02/05/2021,79,2.5191326530612246
1763,North East,2597000,02/05/2021,54,2.079322294955718
3371,South West,5616000,02/05/2021,59,1.0505698005698005
691,East of England,5847000,02/05/2021,134,2.2917735590901316
6208,Scotland,5454000,02/05/2021,146,2.6769343601026767
6542,Scotland,5454000,02/06/2020,53,0.9717638430509717
2633,North West,7300000,02/06/2020,73,1.0
3705,South West,5616000,02/06/2020,13,0.23148148148148148
5335,Wales,3136000,02/06/2020,67,2.1364795918367347
2097,North East,2597000,02/06/2020,26,1.001155179052753
4777,Yorkshire and the Humber,5486000,02/06/2020,47,0.8567262121764491
1561,London,8899375,02/06/2020,32,0.3595758129082099
1025,East of England,5847000,02/06/2020,61,1.043270053018642
5942,Northern Ireland,1885000,02/06/2020,4,0.21220159151193635
3169,South East,9175000,02/06/2020,48,0.5231607629427792
4241,West Midlands,2928000,02/06/2020,65,2.219945355191257
489,East Midlands,4533000,02/06/2020,49,1.0809618354290755
3876,West Midlands,2928000,02/06/2021,242,8.265027322404372
5577,Northern Ireland,1885000,02/06/2021,84,4.456233421750664
3340,South West,5616000,02/06/2021,128,2.2792022792022792
1732,North East,2597000,02/06/2021,122,4.697728147862919
4412,Yorkshire and the Humber,5486000,02/06/2021,363,6.616842872767044
6177,Scotland,5454000,02/06/2021,677,12.412907957462412
1196,London,8899375,02/06/2021,573,6.438654399887633
660,East of England,5847000,02/06/2021,181,3.095604583547118
2804,South East,9175000,02/06/2021,377,4.10899182561308
2268,North West,7300000,02/06/2021,1158,15.863013698630136
124,East Midlands,4533000,02/06/2021,195,4.301786896095301
4970,Wales,3136000,02/06/2021,83,2.6466836734693877
2603,North West,7300000,02/07/2020,94,1.2876712328767124
3139,South East,9175000,02/07/2020,63,0.6866485013623977
6512,Scotland,5454000,02/07/2020,5,0.09167583425009168
4747,Yorkshire and the Humber,5486000,02/07/2020,120,2.1873860736419974
5305,Wales,3136000,02/07/2020,41,1.3073979591836735
995,East of England,5847000,02/07/2020,24,0.4104669061056952
5912,Northern Ireland,1885000,02/07/2020,7,0.3713527851458886
2067,North East,2597000,02/07/2020,15,0.5775895263765884
4211,West Midlands,2928000,02/07/2020,55,1.8784153005464481
3675,South West,5616000,02/07/2020,10,0.17806267806267806
1531,London,8899375,02/07/2020,34,0.382049301214973
459,East Midlands,4533000,02/07/2020,96,2.1178027796161483
5547,Northern Ireland,1885000,02/07/2021,339,17.984084880636605
630,East of England,5847000,02/07/2021,1359,23.242688558234992
3846,West Midlands,2928000,02/07/2021,2222,75.8879781420765
3310,South West,5616000,02/07/2021,1944,34.61538461538461
2774,South East,9175000,02/07/2021,2445,26.64850136239782
4382,Yorkshire and the Humber,5486000,02/07/2021,2543,46.35435654393
6147,Scotland,5454000,02/07/2021,3823,70.09534286762009
2238,North West,7300000,02/07/2021,5003,68.53424657534246
4940,Wales,3136000,02/07/2021,570,18.176020408163268
1166,London,8899375,02/07/2021,2651,29.78860875061451
1702,North East,2597000,02/07/2021,2238,86.176357335387
94,East Midlands,4533000,02/07/2021,1423,31.392014118685196
4180,West Midlands,2928000,02/08/2020,54,1.8442622950819674
3108,South East,9175000,02/08/2020,57,0.6212534059945504
3644,South West,5616000,02/08/2020,34,0.6054131054131054
1500,London,8899375,02/08/2020,70,0.786572090736709
2036,North East,2597000,02/08/2020,13,0.5005775895263765
964,East of England,5847000,02/08/2020,34,0.581494783649735
2572,North West,7300000,02/08/2020,226,3.095890410958904
428,East Midlands,4533000,02/08/2020,83,1.831016986543128
5881,Northern Ireland,1885000,02/08/2020,0,0.0
6481,Scotland,5454000,02/08/2020,31,0.5683901723505684
4716,Yorkshire and the Humber,5486000,02/08/2020,105,1.9139628144367482
5274,Wales,3136000,02/08/2020,37,1.1798469387755102
63,East Midlands,4533000,02/08/2021,1889,41.672181778071916
4351,Yorkshire and the Humber,5486000,02/08/2021,2324,42.36237695953336
599,East of England,5847000,02/08/2021,2060,35.231742774072174
1135,London,8899375,02/08/2021,2719,30.552707353044454
2207,North West,7300000,02/08/2021,2451,33.57534246575342
3815,West Midlands,2928000,02/08/2021,1861,63.55874316939891
3279,South West,5616000,02/08/2021,2069,36.84116809116809
6116,Scotland,5454000,02/08/2021,799,14.64979831316465
2743,South East,9175000,02/08/2021,2491,27.149863760217983
4909,Wales,3136000,02/08/2021,1106,35.267857142857146
1671,North East,2597000,02/08/2021,909,35.001925298421256
5516,Northern Ireland,1885000,02/08/2021,872,46.259946949602124
5243,Wales,3136000,02/09/2020,42,1.3392857142857142
6450,Scotland,5454000,02/09/2020,156,2.8602860286028604
1469,London,8899375,02/09/2020,190,2.1349813891424962
5850,Northern Ireland,1885000,02/09/2020,71,3.76657824933687
2541,North West,7300000,02/09/2020,280,3.835616438356164
397,East Midlands,4533000,02/09/2020,84,1.85307743216413
