Political party;Region;Number of people
More than three crosses;12. KOLDING SYD;0
More than three crosses;13. HADERSLEV;3
More than three crosses;MIDTJYLLAND-NORDJYLLAND;50
More than three crosses;ØSTJYLLANDS STORKREDS;15
More than three crosses;1. ÅRHUS SYD;1
More than three crosses;2. ÅRHUS VEST;1
More than three crosses;3. ÅRHUS NORD;2
More than three crosses;4. ÅRHUS ØST;2
More than three crosses;5. DJURS;4
More than three crosses;6. RANDERS NORD;0
More than three crosses;7. RANDERS SYD;1
More than three crosses;8. FAVRSKOV;0
More than three crosses;9. SKANDERBORG;1
More than three crosses;10. HORSENS;2
More than three crosses;11. HEDENSTED;1
More than three crosses;VESTJYLLANDS STORKREDS;15
More than three crosses;9. HERNING NORD;1
More than three crosses;10. HOLSTEBRO;3
More than three crosses;11. RINGKØBING;1
More than three crosses;1. STRUER;3
More than three crosses;2. SKIVE;3
More than three crosses;3. VIBORG VEST;0
More than three crosses;4. VIBORG ØST;1
More than three crosses;5. SILKEBORG NORD;1
More than three crosses;6. SILKEBORG SYD;0
More than three crosses;7. IKAST;1
More than three crosses;8. HERNING SYD;1
More than three crosses;NORDJYLLANDS STORKREDS;20
More than three crosses;1. FREDERIKSHAVN;5
More than three crosses;2. HJØRRING;3
More than three crosses;3. BRØNDERSLEV;4
More than three crosses;4. THISTED;1
More than three crosses;5. HIMMERLAND;1
More than three crosses;6. MARIAGERFJORD;3
More than three crosses;7. AALBORG ØST;2
More than three crosses;8. AALBORG VEST;0
More than three crosses;9. AALBORG NORD;1
Ballot with drawing, writing or sticker;All DENMARK;1446
Ballot with drawing, writing or sticker;HOVEDSTADEN;418
Ballot with drawing, writing or sticker;KØBENHAVNS STORKREDS;183
Ballot with drawing, writing or sticker;1. ØSTERBRO;18
Ballot with drawing, writing or sticker;2. SUNDBYVESTER;23
Ballot with drawing, writing or sticker;3. INDRE BY;12
Ballot with drawing, writing or sticker;4. SUNDBYØSTER;6
Ballot with drawing, writing or sticker;5. NØRREBRO;9
Ballot with drawing, writing or sticker;6. BISPEBJERG;18
Ballot with drawing, writing or sticker;7. BRØNSHØJ;14
Ballot with drawing, writing or sticker;8. VALBY;17
Ballot with drawing, writing or sticker;9. VESTERBRO;23
Ballot with drawing, writing or sticker;10. FALKONER;11
Ballot with drawing, writing or sticker;11. SLOTS;11
Ballot with drawing, writing or sticker;12. TÅRNBY;21
Ballot with drawing, writing or sticker;KØBENHAVNS OMEGNS STORKREDS;128
Ballot with drawing, writing or sticker;1. GENTOFTE;15
Ballot with drawing, writing or sticker;2. LYNGBY;5
Ballot with drawing, writing or sticker;3. GLADSAXE;14
Ballot with drawing, writing or sticker;4. RØDOVRE;21
Ballot with drawing, writing or sticker;5. HVIDOVRE;11
Ballot with drawing, writing or sticker;6. BRØNDBY;15
Ballot with drawing, writing or sticker;7. TAASTRUP;23
Ballot with drawing, writing or sticker;8. BALLERUP;24
Ballot with drawing, writing or sticker;NORDSJÆLLANDS STORKREDS;97
Ballot with drawing, writing or sticker;1. HELSINGØR;16
Ballot with drawing, writing or sticker;2. FREDENSBORG;5
Ballot with drawing, writing or sticker;3. HILLERØD;15
Ballot with drawing, writing or sticker;4. FREDERIKSSUND;22
Ballot with drawing, writing or sticker;5. EGEDAL;21
Ballot with drawing, writing or sticker;6. RUDERSDAL;18
Ballot with drawing, writing or sticker;BORNHOLMS STORKREDS;10
Ballot with drawing, writing or sticker;1. RØNNE;5
Ballot with drawing, writing or sticker;2. AAKIRKEBY;5
Ballot with drawing, writing or sticker;SJÆLLAND-SYDDANMARK;553
Ballot with drawing, writing or sticker;SJÆLLANDS STORKREDS;223
Ballot with drawing, writing or sticker;1. LOLLAND;22
Ballot with drawing, writing or sticker;2. GULDBORGSUND;22
Ballot with drawing, writing or sticker;3. VORDINGBORG;17
Ballot with drawing, writing or sticker;4. NÆSTVED;11
Ballot with drawing, writing or sticker;5. FAXE;14
Ballot with drawing, writing or sticker;6. KØGE;30
Ballot with drawing, writing or sticker;7. GREVE;20
Ballot with drawing, writing or sticker;8. ROSKILDE;18
Ballot with drawing, writing or sticker;9. HOLBÆK;9
Ballot with drawing, writing or sticker;10. KALUNDBORG;27
Ballot with drawing, writing or sticker;11. RINGSTED;21
Ballot with drawing, writing or sticker;12. SLAGELSE;12
Ballot with drawing, writing or sticker;FYNS STORKREDS;138
Ballot with drawing, writing or sticker;1. ODENSE ØST;14
Ballot with drawing, writing or sticker;2. ODENSE VEST;22
Ballot with drawing, writing or sticker;3. ODENSE SYD;22
Ballot with drawing, writing or sticker;4. ASSENS;16
Ballot with drawing, writing or sticker;5. MIDDELFART;20
Ballot with drawing, writing or sticker;6. NYBORG;7
Ballot with drawing, writing or sticker;7. SVENDBORG;27
Ballot with drawing, writing or sticker;8. FAABORG;10
Ballot with drawing, writing or sticker;SYDJYLLANDS STORKREDS;192
Ballot with drawing, writing or sticker;1. SØNDERBORG;24
Ballot with drawing, writing or sticker;2. AABENRAA;17
Ballot with drawing, writing or sticker;3. TØNDER;6
Ballot with drawing, writing or sticker;4. ESBJERG BY;29
Ballot with drawing, writing or sticker;5. ESBJERG OMEGN;15
Ballot with drawing, writing or sticker;6. VARDE;6
Ballot with drawing, writing or sticker;7. VEJEN;10
Ballot with drawing, writing or sticker;8. VEJLE NORD;11
Ballot with drawing, writing or sticker;9. VEJLE SYD;17
Ballot with drawing, writing or sticker;10. FREDERICIA;22
Ballot with drawing, writing or sticker;11. KOLDING NORD;17
Ballot with drawing, writing or sticker;12. KOLDING SYD;9
Ballot with drawing, writing or sticker;13. HADERSLEV;9
Ballot with drawing, writing or sticker;MIDTJYLLAND-NORDJYLLAND;475
Ballot with drawing, writing or sticker;ØSTJYLLANDS STORKREDS;213
Ballot with drawing, writing or sticker;1. ÅRHUS SYD;26
Ballot with drawing, writing or sticker;2. ÅRHUS VEST;33
Ballot with drawing, writing or sticker;3. ÅRHUS NORD;24
Ballot with drawing, writing or sticker;4. ÅRHUS ØST;32
Ballot with drawing, writing or sticker;5. DJURS;12
Ballot with drawing, writing or sticker;6. RANDERS NORD;13
Ballot with drawing, writing or sticker;7. RANDERS SYD;13
Ballot with drawing, writing or sticker;8. FAVRSKOV;13
Ballot with drawing, writing or sticker;9. SKANDERBORG;15
Ballot with drawing, writing or sticker;10. HORSENS;25
Ballot with drawing, writing or sticker;11. HEDENSTED;7
Ballot with drawing, writing or sticker;VESTJYLLANDS STORKREDS;139
Ballot with drawing, writing or sticker;9. HERNING NORD;11
Ballot with drawing, writing or sticker;10. HOLSTEBRO;10
Ballot with drawing, writing or sticker;11. RINGKØBING;4
Ballot with drawing, writing or sticker;1. STRUER;11
Ballot with drawing, writing or sticker;2. SKIVE;13
Ballot with drawing, writing or sticker;3. VIBORG VEST;16
Ballot with drawing, writing or sticker;4. VIBORG ØST;14
Ballot with drawing, writing or sticker;5. SILKEBORG NORD;15
Ballot with drawing, writing or sticker;6. SILKEBORG SYD;28
Ballot with drawing, writing or sticker;7. IKAST;13
Ballot with drawing, writing or sticker;8. HERNING SYD;4
Ballot with drawing, writing or sticker;NORDJYLLANDS STORKREDS;123
Ballot with drawing, writing or sticker;1. FREDERIKSHAVN;15
Ballot with drawing, writing or sticker;2. HJØRRING;27
Ballot with drawing, writing or sticker;3. BRØNDERSLEV;12
Ballot with drawing, writing or sticker;4. THISTED;17
Ballot with drawing, writing or sticker;5. HIMMERLAND;8
Ballot with drawing, writing or sticker;6. MARIAGERFJORD;5
Ballot with drawing, writing or sticker;7. AALBORG ØST;10
Ballot with drawing, writing or sticker;8. AALBORG VEST;13
Ballot with drawing, writing or sticker;9. AALBORG NORD;16
Ballot marked with different colours, torn, or other characteristic;All DENMARK;195
Ballot marked with different colours, torn, or other characteristic;HOVEDSTADEN;72
Ballot marked with different colours, torn, or other characteristic;KØBENHAVNS STORKREDS;54
Ballot marked with different colours, torn, or other characteristic;1. ØSTERBRO;0
Ballot marked with different colours, torn, or other characteristic;2. SUNDBYVESTER;2
Ballot marked with different colours, torn, or other characteristic;3. INDRE BY;0
Ballot marked with different colours, torn, or other characteristic;4. SUNDBYØSTER;3
Ballot marked with different colours, torn, or other characteristic;5. NØRREBRO;19
Ballot marked with different colours, torn, or other characteristic;6. BISPEBJERG;5
Ballot marked with different colours, torn, or other characteristic;7. BRØNSHØJ;9
Ballot marked with different colours, torn, or other characteristic;8. VALBY;11
Ballot marked with different colours, torn, or other characteristic;9. VESTERBRO;4
Ballot marked with different colours, torn, or other characteristic;10. FALKONER;0
Ballot marked with different colours, torn, or other characteristic;11. SLOTS;1
Ballot marked with different colours, torn, or other characteristic;12. TÅRNBY;0
Ballot marked with different colours, torn, or other characteristic;KØBENHAVNS OMEGNS STORKREDS;9
Ballot marked with different colours, torn, or other characteristic;1. GENTOFTE;4
Ballot marked with different colours, torn, or other characteristic;2. LYNGBY;1
Ballot marked with different colours, torn, or other characteristic;3. GLADSAXE;0
Ballot marked with different colours, torn, or other characteristic;4. RØDOVRE;0
Ballot marked with different colours, torn, or other characteristic;5. HVIDOVRE;0
Ballot marked with different colours, torn, or other characteristic;6. BRØNDBY;1
Ballot marked with different colours, torn, or other characteristic;7. TAASTRUP;2
Ballot marked with different colours, torn, or other characteristic;8. BALLERUP;1
Ballot marked with different colours, torn, or other characteristic;NORDSJÆLLANDS STORKREDS;9
Ballot marked with different colours, torn, or other characteristic;1. HELSINGØR;1
Ballot marked with different colours, torn, or other characteristic;2. FREDENSBORG;2
Ballot marked with different colours, torn, or other characteristic;3. HILLERØD;0
Ballot marked with different colours, torn, or other characteristic;4. FREDERIKSSUND;0
Ballot marked with different colours, torn, or other characteristic;5. EGEDAL;2
Ballot marked with different colours, torn, or other characteristic;6. RUDERSDAL;4
Ballot marked with different colours, torn, or other characteristic;BORNHOLMS STORKREDS;0
Ballot marked with different colours, torn, or other characteristic;1. RØNNE;0
Ballot marked with different colours, torn, or other characteristic;2. AAKIRKEBY;0
Ballot marked with different colours, torn, or other characteristic;SJÆLLAND-SYDDANMARK;76
Ballot marked with different colours, torn, or other characteristic;SJÆLLANDS STORKREDS;25
Ballot marked with different colours, torn, or other characteristic;1. LOLLAND;0
Ballot marked with different colours, torn, or other characteristic;2. GULDBORGSUND;1
Ballot marked with different colours, torn, or other characteristic;3. VORDINGBORG;0
Ballot marked with different colours, torn, or other characteristic;4. NÆSTVED;3
Ballot marked with different colours, torn, or other characteristic;5. FAXE;4
Ballot marked with different colours, torn, or other characteristic;6. KØGE;1
Ballot marked with different colours, torn, or other characteristic;7. GREVE;2
Ballot marked with different colours, torn, or other characteristic;8. ROSKILDE;1
Ballot marked with different colours, torn, or other characteristic;9. HOLBÆK;12
Ballot marked with different colours, torn, or other characteristic;10. KALUNDBORG;0
Ballot marked with different colours, torn, or other characteristic;11. RINGSTED;1
Ballot marked with different colours, torn, or other characteristic;12. SLAGELSE;0
Ballot marked with different colours, torn, or other characteristic;FYNS STORKREDS;14
Ballot marked with different colours, torn, or other characteristic;1. ODENSE ØST;1
Ballot marked with different colours, torn, or other characteristic;2. ODENSE VEST;0
Ballot marked with different colours, torn, or other characteristic;3. ODENSE SYD;2
Ballot marked with different colours, torn, or other characteristic;4. ASSENS;4
Ballot marked with different colours, torn, or other characteristic;5. MIDDELFART;0
Ballot marked with different colours, torn, or other characteristic;6. NYBORG;0
Ballot marked with different colours, torn, or other characteristic;7. SVENDBORG;3
Ballot marked with different colours, torn, or other characteristic;8. FAABORG;4
Ballot marked with different colours, torn, or other characteristic;SYDJYLLANDS STORKREDS;37
Ballot marked with different colours, torn, or other characteristic;1. SØNDERBORG;16
Ballot marked with different colours, torn, or other characteristic;2. AABENRAA;4
Ballot marked with different colours, torn, or other characteristic;3. TØNDER;1
Ballot marked with different colours, torn, or other characteristic;4. ESBJERG BY;0
Ballot marked with different colours, torn, or other characteristic;5. ESBJERG OMEGN;2
Ballot marked with different colours, torn, or other characteristic;6. VARDE;0
Ballot marked with different colours, torn, or other characteristic;7. VEJEN;3
Ballot marked with different colours, torn, or other characteristic;8. VEJLE NORD;1
Ballot marked with different colours, torn, or other characteristic;9. VEJLE SYD;1
Ballot marked with different colours, torn, or other characteristic;10. FREDERICIA;1
Ballot marked with different colours, torn, or other characteristic;11. KOLDING NORD;1
Ballot marked with different colours, torn, or other characteristic;12. KOLDING SYD;2
Ballot marked with different colours, torn, or other characteristic;13. HADERSLEV;5
Ballot marked with different colours, torn, or other characteristic;MIDTJYLLAND-NORDJYLLAND;47
Ballot marked with different colours, torn, or other characteristic;ØSTJYLLANDS STORKREDS;25
Ballot marked with different colours, torn, or other characteristic;1. ÅRHUS SYD;8
Ballot marked with different colours, torn, or other characteristic;2. ÅRHUS VEST;2
Ballot marked with different colours, torn, or other characteristic;3. ÅRHUS NORD;3
Ballot marked with different colours, torn, or other characteristic;4. ÅRHUS ØST;0
Ballot marked with different colours, torn, or other characteristic;5. DJURS;0
Ballot marked with different colours, torn, or other characteristic;6. RANDERS NORD;0
Ballot marked with different colours, torn, or other characteristic;7. RANDERS SYD;1
Ballot marked with different colours, torn, or other characteristic;8. FAVRSKOV;1
Ballot marked with different colours, torn, or other characteristic;9. SKANDERBORG;3
Ballot marked with different colours, torn, or other characteristic;10. HORSENS;2
Ballot marked with different colours, torn, or other characteristic;11. HEDENSTED;5
Ballot marked with different colours, torn, or other characteristic;VESTJYLLANDS STORKREDS;11
Ballot marked with different colours, torn, or other characteristic;9. HERNING NORD;0
Ballot marked with different colours, torn, or other characteristic;10. HOLSTEBRO;0
Ballot marked with different colours, torn, or other characteristic;11. RINGKØBING;0
Ballot marked with different colours, torn, or other characteristic;1. STRUER;6
Ballot marked with different colours, torn, or other characteristic;2. SKIVE;0
Ballot marked with different colours, torn, or other characteristic;3. VIBORG VEST;0
Ballot marked with different colours, torn, or other characteristic;4. VIBORG ØST;2
Ballot marked with different colours, torn, or other characteristic;5. SILKEBORG NORD;0
Ballot marked with different colours, torn, or other characteristic;6. SILKEBORG SYD;0
Ballot marked with different colours, torn, or other characteristic;7. IKAST;1
Ballot marked with different colours, torn, or other characteristic;8. HERNING SYD;2
Ballot marked with different colours, torn, or other characteristic;NORDJYLLANDS STORKREDS;11
Ballot marked with different colours, torn, or other characteristic;1. FREDERIKSHAVN;1
Ballot marked with different colours, torn, or other characteristic;2. HJØRRING;7
Ballot marked with different colours, torn, or other characteristic;3. BRØNDERSLEV;0
Ballot marked with different colours, torn, or other characteristic;4. THISTED;1
Ballot marked with different colours, torn, or other characteristic;5. HIMMERLAND;0
Ballot marked with different colours, torn, or other characteristic;6. MARIAGERFJORD;1
Ballot marked with different colours, torn, or other characteristic;7. AALBORG ØST;0
Ballot marked with different colours, torn, or other characteristic;8. AALBORG VEST;0
Ballot marked with different colours, torn, or other characteristic;9. AALBORG NORD;1
INVALID ABSENTEE BALLOTS;All DENMARK;5375
INVALID ABSENTEE BALLOTS;HOVEDSTADEN;2070
INVALID ABSENTEE BALLOTS;KØBENHAVNS STORKREDS;934
INVALID ABSENTEE BALLOTS;1. ØSTERBRO;127
INVALID ABSENTEE BALLOTS;2. SUNDBYVESTER;95
INVALID ABSENTEE BALLOTS;3. INDRE BY;69
INVALID ABSENTEE BALLOTS;4. SUNDBYØSTER;77
INVALID ABSENTEE BALLOTS;5. NØRREBRO;75
INVALID ABSENTEE BALLOTS;6. BISPEBJERG;63
INVALID ABSENTEE BALLOTS;7. BRØNSHØJ;106
INVALID ABSENTEE BALLOTS;8. VALBY;65
INVALID ABSENTEE BALLOTS;9. VESTERBRO;51
INVALID ABSENTEE BALLOTS;10. FALKONER;62
INVALID ABSENTEE BALLOTS;11. SLOTS;64
INVALID ABSENTEE BALLOTS;12. TÅRNBY;80
INVALID ABSENTEE BALLOTS;KØBENHAVNS OMEGNS STORKREDS;632
INVALID ABSENTEE BALLOTS;1. GENTOFTE;128
INVALID ABSENTEE BALLOTS;2. LYNGBY;81
INVALID ABSENTEE BALLOTS;3. GLADSAXE;76
INVALID ABSENTEE BALLOTS;4. RØDOVRE;64
INVALID ABSENTEE BALLOTS;5. HVIDOVRE;42
INVALID ABSENTEE BALLOTS;6. BRØNDBY;77
INVALID ABSENTEE BALLOTS;7. TAASTRUP;91
INVALID ABSENTEE BALLOTS;8. BALLERUP;73
INVALID ABSENTEE BALLOTS;NORDSJÆLLANDS STORKREDS;460
INVALID ABSENTEE BALLOTS;1. HELSINGØR;73
INVALID ABSENTEE BALLOTS;2. FREDENSBORG;53
INVALID ABSENTEE BALLOTS;3. HILLERØD;73
INVALID ABSENTEE BALLOTS;4. FREDERIKSSUND;87
INVALID ABSENTEE BALLOTS;5. EGEDAL;76
INVALID ABSENTEE BALLOTS;6. RUDERSDAL;98
INVALID ABSENTEE BALLOTS;BORNHOLMS STORKREDS;44
INVALID ABSENTEE BALLOTS;1. RØNNE;24
INVALID ABSENTEE BALLOTS;2. AAKIRKEBY;20
INVALID ABSENTEE BALLOTS;SJÆLLAND-SYDDANMARK;1832
INVALID ABSENTEE BALLOTS;SJÆLLANDS STORKREDS;762
INVALID ABSENTEE BALLOTS;1. LOLLAND;40
INVALID ABSENTEE BALLOTS;2. GULDBORGSUND;55
INVALID ABSENTEE BALLOTS;3. VORDINGBORG;37
INVALID ABSENTEE BALLOTS;4. NÆSTVED;59
INVALID ABSENTEE BALLOTS;5. FAXE;56
INVALID ABSENTEE BALLOTS;6. KØGE;90
INVALID ABSENTEE BALLOTS;7. GREVE;64
INVALID ABSENTEE BALLOTS;8. ROSKILDE;76
INVALID ABSENTEE BALLOTS;9. HOLBÆK;74
INVALID ABSENTEE BALLOTS;10. KALUNDBORG;79
INVALID ABSENTEE BALLOTS;11. RINGSTED;51
INVALID ABSENTEE BALLOTS;12. SLAGELSE;81
INVALID ABSENTEE BALLOTS;FYNS STORKREDS;508
INVALID ABSENTEE BALLOTS;1. ODENSE ØST;78
INVALID ABSENTEE BALLOTS;2. ODENSE VEST;83
INVALID ABSENTEE BALLOTS;3. ODENSE SYD;74
INVALID ABSENTEE BALLOTS;4. ASSENS;32
INVALID ABSENTEE BALLOTS;5. MIDDELFART;82
INVALID ABSENTEE BALLOTS;6. NYBORG;47
INVALID ABSENTEE BALLOTS;7. SVENDBORG;75
INVALID ABSENTEE BALLOTS;8. FAABORG;37
INVALID ABSENTEE BALLOTS;SYDJYLLANDS STORKREDS;562
INVALID ABSENTEE BALLOTS;1. SØNDERBORG;53
INVALID ABSENTEE BALLOTS;2. AABENRAA;25
INVALID ABSENTEE BALLOTS;3. TØNDER;57
INVALID ABSENTEE BALLOTS;4. ESBJERG BY;58
INVALID ABSENTEE BALLOTS;5. ESBJERG OMEGN;32
INVALID ABSENTEE BALLOTS;6. VARDE;33
INVALID ABSENTEE BALLOTS;7. VEJEN;46
INVALID ABSENTEE BALLOTS;8. VEJLE NORD;31
INVALID ABSENTEE BALLOTS;9. VEJLE SYD;55
INVALID ABSENTEE BALLOTS;10. FREDERICIA;67
INVALID ABSENTEE BALLOTS;11. KOLDING NORD;34
INVALID ABSENTEE BALLOTS;12. KOLDING SYD;33
INVALID ABSENTEE BALLOTS;13. HADERSLEV;38
INVALID ABSENTEE BALLOTS;MIDTJYLLAND-NORDJYLLAND;1473
INVALID ABSENTEE BALLOTS;ØSTJYLLANDS STORKREDS;671
INVALID ABSENTEE BALLOTS;1. ÅRHUS SYD;70
INVALID ABSENTEE BALLOTS;2. ÅRHUS VEST;88
INVALID ABSENTEE BALLOTS;3. ÅRHUS NORD;85
INVALID ABSENTEE BALLOTS;4. ÅRHUS ØST;92
INVALID ABSENTEE BALLOTS;5. DJURS;62
INVALID ABSENTEE BALLOTS;6. RANDERS NORD;49
INVALID ABSENTEE BALLOTS;7. RANDERS SYD;28
INVALID ABSENTEE BALLOTS;8. FAVRSKOV;26
INVALID ABSENTEE BALLOTS;9. SKANDERBORG;72
INVALID ABSENTEE BALLOTS;10. HORSENS;72
INVALID ABSENTEE BALLOTS;11. HEDENSTED;27
INVALID ABSENTEE BALLOTS;VESTJYLLANDS STORKREDS;368
INVALID ABSENTEE BALLOTS;9. HERNING NORD;13
INVALID ABSENTEE BALLOTS;10. HOLSTEBRO;50
INVALID ABSENTEE BALLOTS;11. RINGKØBING;41
INVALID ABSENTEE BALLOTS;1. STRUER;38
INVALID ABSENTEE BALLOTS;2. SKIVE;38
INVALID ABSENTEE BALLOTS;3. VIBORG VEST;38
INVALID ABSENTEE BALLOTS;4. VIBORG ØST;30
INVALID ABSENTEE BALLOTS;5. SILKEBORG NORD;34
INVALID ABSENTEE BALLOTS;6. SILKEBORG SYD;32
INVALID ABSENTEE BALLOTS;7. IKAST;39
INVALID ABSENTEE BALLOTS;8. HERNING SYD;15
INVALID ABSENTEE BALLOTS;NORDJYLLANDS STORKREDS;434
INVALID ABSENTEE BALLOTS;1. FREDERIKSHAVN;52
INVALID ABSENTEE BALLOTS;2. HJØRRING;43
INVALID ABSENTEE BALLOTS;3. BRØNDERSLEV;47
INVALID ABSENTEE BALLOTS;4. THISTED;36
INVALID ABSENTEE BALLOTS;5. HIMMERLAND;40
INVALID ABSENTEE BALLOTS;6. MARIAGERFJORD;24
INVALID ABSENTEE BALLOTS;7. AALBORG ØST;73
INVALID ABSENTEE BALLOTS;8. AALBORG VEST;59
INVALID ABSENTEE BALLOTS;9. AALBORG NORD;60
Blanks;All DENMARK;2044
Blanks;HOVEDSTADEN;770
Blanks;KØBENHAVNS STORKREDS;333
Blanks;1. ØSTERBRO;33
Blanks;2. SUNDBYVESTER;33
Blanks;3. INDRE BY;26
Blanks;4. SUNDBYØSTER;25
Blanks;5. NØRREBRO;27
Blanks;6. BISPEBJERG;20
Blanks;7. BRØNSHØJ;45
Blanks;8. VALBY;25
Blanks;9. VESTERBRO;18
Blanks;10. FALKONER;27
Blanks;11. SLOTS;26
Blanks;12. TÅRNBY;28
Blanks;KØBENHAVNS OMEGNS STORKREDS;246
Blanks;1. GENTOFTE;47
Blanks;2. LYNGBY;28
Blanks;3. GLADSAXE;29
Blanks;4. RØDOVRE;25
Blanks;5. HVIDOVRE;24
Blanks;6. BRØNDBY;25
Blanks;7. TAASTRUP;37
Blanks;8. BALLERUP;31
Blanks;NORDSJÆLLANDS STORKREDS;163
Blanks;1. HELSINGØR;32
Blanks;2. FREDENSBORG;18
Blanks;3. HILLERØD;24
Blanks;4. FREDERIKSSUND;36
Blanks;5. EGEDAL;24
Blanks;6. RUDERSDAL;29
Blanks;BORNHOLMS STORKREDS;28
Blanks;1. RØNNE;17
Blanks;2. AAKIRKEBY;11
Blanks;SJÆLLAND-SYDDANMARK;677
Blanks;SJÆLLANDS STORKREDS;286
Blanks;1. LOLLAND;20
Blanks;2. GULDBORGSUND;17
Blanks;3. VORDINGBORG;18
Blanks;4. NÆSTVED;19
Blanks;5. FAXE;24
Blanks;6. KØGE;40
Blanks;7. GREVE;12
Blanks;8. ROSKILDE;36
Blanks;9. HOLBÆK;24
Blanks;10. KALUNDBORG;28
Blanks;11. RINGSTED;15
Blanks;12. SLAGELSE;33
Blanks;FYNS STORKREDS;197
Blanks;1. ODENSE ØST;36
Blanks;2. ODENSE VEST;27
Blanks;3. ODENSE SYD;35
Blanks;4. ASSENS;9
Blanks;5. MIDDELFART;30
Blanks;6. NYBORG;13
Blanks;7. SVENDBORG;32
Blanks;8. FAABORG;15
Blanks;SYDJYLLANDS STORKREDS;194
Blanks;1. SØNDERBORG;13
Blanks;2. AABENRAA;9
Blanks;3. TØNDER;19
Blanks;4. ESBJERG BY;22
Blanks;5. ESBJERG OMEGN;13
Blanks;6. VARDE;11
Blanks;7. VEJEN;12
Blanks;8. VEJLE NORD;17
Blanks;9. VEJLE SYD;23
Blanks;10. FREDERICIA;17
Blanks;11. KOLDING NORD;15
Blanks;12. KOLDING SYD;12
Blanks;13. HADERSLEV;11
Blanks;MIDTJYLLAND-NORDJYLLAND;597
Blanks;ØSTJYLLANDS STORKREDS;275
Blanks;1. ÅRHUS SYD;39
Blanks;2. ÅRHUS VEST;40
Blanks;3. ÅRHUS NORD;34
Blanks;4. ÅRHUS ØST;42
Blanks;5. DJURS;19
Blanks;6. RANDERS NORD;17
Blanks;7. RANDERS SYD;10
Blanks;8. FAVRSKOV;13
Blanks;9. SKANDERBORG;34
Blanks;10. HORSENS;18
Blanks;11. HEDENSTED;9
Blanks;VESTJYLLANDS STORKREDS;132
Blanks;9. HERNING NORD;0
Blanks;10. HOLSTEBRO;17
Blanks;11. RINGKØBING;14
Blanks;1. STRUER;5
Blanks;2. SKIVE;17
Blanks;3. VIBORG VEST;20
Blanks;4. VIBORG ØST;12
Blanks;5. SILKEBORG NORD;16
Blanks;6. SILKEBORG SYD;15
Blanks;7. IKAST;16
Blanks;8. HERNING SYD;0
Blanks;NORDJYLLANDS STORKREDS;190
Blanks;1. FREDERIKSHAVN;20
Blanks;2. HJØRRING;14
Blanks;3. BRØNDERSLEV;29
Blanks;4. THISTED;15
Blanks;5. HIMMERLAND;12
Blanks;6. MARIAGERFJORD;12
Blanks;7. AALBORG ØST;30
Blanks;8. AALBORG VEST;32
Blanks;9. AALBORG NORD;26
Only name for person not electable or uncertain unofficial letter;All DENMARK;555
Only name for person not electable or uncertain unofficial letter;HOVEDSTADEN;243
Only name for person not electable or uncertain unofficial letter;KØBENHAVNS STORKREDS;83
Only name for person not electable or uncertain unofficial letter;1. ØSTERBRO;10
Only name for person not electable or uncertain unofficial letter;2. SUNDBYVESTER;5
Only name for person not electable or uncertain unofficial letter;3. INDRE BY;13
Only name for person not electable or uncertain unofficial letter;4. SUNDBYØSTER;3
Only name for person not electable or uncertain unofficial letter;5. NØRREBRO;10
Only name for person not electable or uncertain unofficial letter;6. BISPEBJERG;12
Only name for person not electable or uncertain unofficial letter;7. BRØNSHØJ;9
Only name for person not electable or uncertain unofficial letter;8. VALBY;4
Only name for person not electable or uncertain unofficial letter;9. VESTERBRO;6
Only name for person not electable or uncertain unofficial letter;10. FALKONER;3
Only name for person not electable or uncertain unofficial letter;11. SLOTS;1
Only name for person not electable or uncertain unofficial letter;12. TÅRNBY;7
Only name for person not electable or uncertain unofficial letter;KØBENHAVNS OMEGNS STORKREDS;80
Only name for person not electable or uncertain unofficial letter;1. GENTOFTE;10
Only name for person not electable or uncertain unofficial letter;2. LYNGBY;10
Only name for person not electable or uncertain unofficial letter;3. GLADSAXE;14
Only name for person not electable or uncertain unofficial letter;4. RØDOVRE;14
Only name for person not electable or uncertain unofficial letter;5. HVIDOVRE;4
Only name for person not electable or uncertain unofficial letter;6. BRØNDBY;6
Only name for person not electable or uncertain unofficial letter;7. TAASTRUP;12
Only name for person not electable or uncertain unofficial letter;8. BALLERUP;10
Only name for person not electable or uncertain unofficial letter;NORDSJÆLLANDS STORKREDS;77
Only name for person not electable or uncertain unofficial letter;1. HELSINGØR;13
Only name for person not electable or uncertain unofficial letter;2. FREDENSBORG;3
Only name for person not electable or uncertain unofficial letter;3. HILLERØD;8
Only name for person not electable or uncertain unofficial letter;4. FREDERIKSSUND;18
Only name for person not electable or uncertain unofficial letter;5. EGEDAL;17
Only name for person not electable or uncertain unofficial letter;6. RUDERSDAL;18
Only name for person not electable or uncertain unofficial letter;BORNHOLMS STORKREDS;3
Only name for person not electable or uncertain unofficial letter;1. RØNNE;0
Only name for person not electable or uncertain unofficial letter;2. AAKIRKEBY;3
Only name for person not electable or uncertain unofficial letter;SJÆLLAND-SYDDANMARK;161
Only name for person not electable or uncertain unofficial letter;SJÆLLANDS STORKREDS;56
Only name for person not electable or uncertain unofficial letter;1. LOLLAND;0
Only name for person not electable or uncertain unofficial letter;2. GULDBORGSUND;6
Only name for person not electable or uncertain unofficial letter;3. VORDINGBORG;4
Only name for person not electable or uncertain unofficial letter;4. NÆSTVED;5
