Political party;Region;Number of people
B. The Danish Social-Liberal Party;13. HADERSLEV;1660
B. The Danish Social-Liberal Party;MIDTJYLLAND-NORDJYLLAND;84978
B. The Danish Social-Liberal Party;ØSTJYLLANDS STORKREDS;49157
B. The Danish Social-Liberal Party;1. ÅRHUS SYD;6290
B. The Danish Social-Liberal Party;2. ÅRHUS VEST;7285
B. The Danish Social-Liberal Party;3. ÅRHUS NORD;8245
B. The Danish Social-Liberal Party;4. ÅRHUS ØST;9771
B. The Danish Social-Liberal Party;5. DJURS;2630
B. The Danish Social-Liberal Party;6. RANDERS NORD;1534
B. The Danish Social-Liberal Party;7. RANDERS SYD;1603
B. The Danish Social-Liberal Party;8. FAVRSKOV;2100
B. The Danish Social-Liberal Party;9. SKANDERBORG;4867
B. The Danish Social-Liberal Party;10. HORSENS;3627
B. The Danish Social-Liberal Party;11. HEDENSTED;1205
B. The Danish Social-Liberal Party;VESTJYLLANDS STORKREDS;17216
B. The Danish Social-Liberal Party;9. HERNING NORD;1424
B. The Danish Social-Liberal Party;10. HOLSTEBRO;1836
B. The Danish Social-Liberal Party;11. RINGKØBING;1207
B. The Danish Social-Liberal Party;1. STRUER;1198
B. The Danish Social-Liberal Party;2. SKIVE;1826
B. The Danish Social-Liberal Party;3. VIBORG VEST;1685
B. The Danish Social-Liberal Party;4. VIBORG ØST;1284
B. The Danish Social-Liberal Party;5. SILKEBORG NORD;1705
B. The Danish Social-Liberal Party;6. SILKEBORG SYD;2403
B. The Danish Social-Liberal Party;7. IKAST;945
B. The Danish Social-Liberal Party;8. HERNING SYD;1703
B. The Danish Social-Liberal Party;NORDJYLLANDS STORKREDS;18605
B. The Danish Social-Liberal Party;1. FREDERIKSHAVN;1101
B. The Danish Social-Liberal Party;2. HJØRRING;1558
B. The Danish Social-Liberal Party;3. BRØNDERSLEV;1665
B. The Danish Social-Liberal Party;4. THISTED;1366
B. The Danish Social-Liberal Party;5. HIMMERLAND;1845
B. The Danish Social-Liberal Party;6. MARIAGERFJORD;1270
B. The Danish Social-Liberal Party;7. AALBORG ØST;4040
B. The Danish Social-Liberal Party;8. AALBORG VEST;2994
B. The Danish Social-Liberal Party;9. AALBORG NORD;2766
C. The Conservative Peoples Party;All DENMARK;233865
C. The Conservative Peoples Party;HOVEDSTADEN;85647
C. The Conservative Peoples Party;KØBENHAVNS STORKREDS;23829
C. The Conservative Peoples Party;1. ØSTERBRO;3029
C. The Conservative Peoples Party;2. SUNDBYVESTER;1831
C. The Conservative Peoples Party;3. INDRE BY;2361
C. The Conservative Peoples Party;4. SUNDBYØSTER;1359
C. The Conservative Peoples Party;5. NØRREBRO;1071
C. The Conservative Peoples Party;6. BISPEBJERG;827
C. The Conservative Peoples Party;7. BRØNSHØJ;2117
C. The Conservative Peoples Party;8. VALBY;1342
C. The Conservative Peoples Party;9. VESTERBRO;1497
C. The Conservative Peoples Party;10. FALKONER;3144
C. The Conservative Peoples Party;11. SLOTS;3076
C. The Conservative Peoples Party;12. TÅRNBY;2175
C. The Conservative Peoples Party;KØBENHAVNS OMEGNS STORKREDS;28994
C. The Conservative Peoples Party;1. GENTOFTE;9226
C. The Conservative Peoples Party;2. LYNGBY;5209
C. The Conservative Peoples Party;3. GLADSAXE;2543
C. The Conservative Peoples Party;4. RØDOVRE;2331
C. The Conservative Peoples Party;5. HVIDOVRE;1532
C. The Conservative Peoples Party;6. BRØNDBY;2441
C. The Conservative Peoples Party;7. TAASTRUP;3290
C. The Conservative Peoples Party;8. BALLERUP;2422
C. The Conservative Peoples Party;NORDSJÆLLANDS STORKREDS;32368
C. The Conservative Peoples Party;1. HELSINGØR;4237
C. The Conservative Peoples Party;2. FREDENSBORG;6320
C. The Conservative Peoples Party;3. HILLERØD;4786
C. The Conservative Peoples Party;4. FREDERIKSSUND;3016
C. The Conservative Peoples Party;5. EGEDAL;5486
C. The Conservative Peoples Party;6. RUDERSDAL;8523
C. The Conservative Peoples Party;BORNHOLMS STORKREDS;456
C. The Conservative Peoples Party;1. RØNNE;244
C. The Conservative Peoples Party;2. AAKIRKEBY;212
C. The Conservative Peoples Party;SJÆLLAND-SYDDANMARK;71754
C. The Conservative Peoples Party;SJÆLLANDS STORKREDS;30449
C. The Conservative Peoples Party;1. LOLLAND;912
C. The Conservative Peoples Party;2. GULDBORGSUND;1674
C. The Conservative Peoples Party;3. VORDINGBORG;1412
C. The Conservative Peoples Party;4. NÆSTVED;2841
C. The Conservative Peoples Party;5. FAXE;2487
C. The Conservative Peoples Party;6. KØGE;3879
C. The Conservative Peoples Party;7. GREVE;3260
C. The Conservative Peoples Party;8. ROSKILDE;4136
C. The Conservative Peoples Party;9. HOLBÆK;2586
C. The Conservative Peoples Party;10. KALUNDBORG;2276
C. The Conservative Peoples Party;11. RINGSTED;2637
C. The Conservative Peoples Party;12. SLAGELSE;2349
C. The Conservative Peoples Party;FYNS STORKREDS;19256
C. The Conservative Peoples Party;1. ODENSE ØST;2006
C. The Conservative Peoples Party;2. ODENSE VEST;2418
C. The Conservative Peoples Party;3. ODENSE SYD;3627
C. The Conservative Peoples Party;4. ASSENS;1428
C. The Conservative Peoples Party;5. MIDDELFART;2648
C. The Conservative Peoples Party;6. NYBORG;2307
C. The Conservative Peoples Party;7. SVENDBORG;2698
C. The Conservative Peoples Party;8. FAABORG;2124
C. The Conservative Peoples Party;SYDJYLLANDS STORKREDS;22049
C. The Conservative Peoples Party;1. SØNDERBORG;2049
C. The Conservative Peoples Party;2. AABENRAA;1403
C. The Conservative Peoples Party;3. TØNDER;972
C. The Conservative Peoples Party;4. ESBJERG BY;1792
C. The Conservative Peoples Party;5. ESBJERG OMEGN;1825
C. The Conservative Peoples Party;6. VARDE;1343
C. The Conservative Peoples Party;7. VEJEN;1901
C. The Conservative Peoples Party;8. VEJLE NORD;2061
C. The Conservative Peoples Party;9. VEJLE SYD;1971
C. The Conservative Peoples Party;10. FREDERICIA;1774
C. The Conservative Peoples Party;11. KOLDING NORD;1785
C. The Conservative Peoples Party;12. KOLDING SYD;1639
C. The Conservative Peoples Party;13. HADERSLEV;1534
C. The Conservative Peoples Party;MIDTJYLLAND-NORDJYLLAND;76464
C. The Conservative Peoples Party;ØSTJYLLANDS STORKREDS;28431
C. The Conservative Peoples Party;1. ÅRHUS SYD;3310
C. The Conservative Peoples Party;2. ÅRHUS VEST;2527
C. The Conservative Peoples Party;3. ÅRHUS NORD;2705
C. The Conservative Peoples Party;4. ÅRHUS ØST;4287
C. The Conservative Peoples Party;5. DJURS;2252
C. The Conservative Peoples Party;6. RANDERS NORD;1208
C. The Conservative Peoples Party;7. RANDERS SYD;1424
C. The Conservative Peoples Party;8. FAVRSKOV;2087
C. The Conservative Peoples Party;9. SKANDERBORG;3854
C. The Conservative Peoples Party;10. HORSENS;3208
C. The Conservative Peoples Party;11. HEDENSTED;1569
C. The Conservative Peoples Party;VESTJYLLANDS STORKREDS;29934
C. The Conservative Peoples Party;9. HERNING NORD;2456
C. The Conservative Peoples Party;10. HOLSTEBRO;2427
C. The Conservative Peoples Party;11. RINGKØBING;2063
C. The Conservative Peoples Party;1. STRUER;2165
C. The Conservative Peoples Party;2. SKIVE;1728
C. The Conservative Peoples Party;3. VIBORG VEST;5096
C. The Conservative Peoples Party;4. VIBORG ØST;4844
C. The Conservative Peoples Party;5. SILKEBORG NORD;2506
C. The Conservative Peoples Party;6. SILKEBORG SYD;2803
C. The Conservative Peoples Party;7. IKAST;1683
C. The Conservative Peoples Party;8. HERNING SYD;2163
C. The Conservative Peoples Party;NORDJYLLANDS STORKREDS;18099
C. The Conservative Peoples Party;1. FREDERIKSHAVN;1811
C. The Conservative Peoples Party;2. HJØRRING;2518
C. The Conservative Peoples Party;3. BRØNDERSLEV;2067
C. The Conservative Peoples Party;4. THISTED;2190
C. The Conservative Peoples Party;5. HIMMERLAND;2199
C. The Conservative Peoples Party;6. MARIAGERFJORD;1384
C. The Conservative Peoples Party;7. AALBORG ØST;2020
C. The Conservative Peoples Party;8. AALBORG VEST;2171
C. The Conservative Peoples Party;9. AALBORG NORD;1739
D. The New Right;All DENMARK;83201
D. The New Right;HOVEDSTADEN;23428
D. The New Right;KØBENHAVNS STORKREDS;6417
D. The New Right;1. ØSTERBRO;636
D. The New Right;2. SUNDBYVESTER;571
D. The New Right;3. INDRE BY;422
D. The New Right;4. SUNDBYØSTER;480
D. The New Right;5. NØRREBRO;371
D. The New Right;6. BISPEBJERG;437
D. The New Right;7. BRØNSHØJ;755
D. The New Right;8. VALBY;512
D. The New Right;9. VESTERBRO;487
D. The New Right;10. FALKONER;435
D. The New Right;11. SLOTS;471
D. The New Right;12. TÅRNBY;840
D. The New Right;KØBENHAVNS OMEGNS STORKREDS;7144
D. The New Right;1. GENTOFTE;995
D. The New Right;2. LYNGBY;692
D. The New Right;3. GLADSAXE;737
D. The New Right;4. RØDOVRE;918
D. The New Right;5. HVIDOVRE;720
D. The New Right;6. BRØNDBY;944
D. The New Right;7. TAASTRUP;1094
D. The New Right;8. BALLERUP;1044
D. The New Right;NORDSJÆLLANDS STORKREDS;9439
D. The New Right;1. HELSINGØR;1453
D. The New Right;2. FREDENSBORG;1255
D. The New Right;3. HILLERØD;2118
D. The New Right;4. FREDERIKSSUND;1852
D. The New Right;5. EGEDAL;1407
D. The New Right;6. RUDERSDAL;1354
D. The New Right;BORNHOLMS STORKREDS;428
D. The New Right;1. RØNNE;217
D. The New Right;2. AAKIRKEBY;211
D. The New Right;SJÆLLAND-SYDDANMARK;37070
D. The New Right;SJÆLLANDS STORKREDS;13319
D. The New Right;1. LOLLAND;588
D. The New Right;2. GULDBORGSUND;847
D. The New Right;3. VORDINGBORG;684
D. The New Right;4. NÆSTVED;1355
D. The New Right;5. FAXE;1078
D. The New Right;6. KØGE;1488
D. The New Right;7. GREVE;1255
D. The New Right;8. ROSKILDE;1116
D. The New Right;9. HOLBÆK;975
D. The New Right;10. KALUNDBORG;1489
D. The New Right;11. RINGSTED;989
D. The New Right;12. SLAGELSE;1455
D. The New Right;FYNS STORKREDS;5926
