"People by unit, time, sex, region and type of income"

" ";" ";" ";" ";"2 Pre-tax Income, total (3+7+22+26+29)";"3 Primary income (4+5+6)"
"Amount of income (DKK 1.000)"
" ";"2019"
" ";" ";"Men and women, total"
" ";" ";" ";"Læsø";198992;102553
" ";" ";" ";"Mariagerfjord";4689418;2889702
" ";" ";" ";"Morsø";2197427;1243036
" ";" ";" ";"Rebild";3526043;2393318
" ";" ";" ";"Thisted";4726075;2731619
" ";" ";" ";"Vesthimmerlands";4016763;2407210
" ";" ";" ";"Aalborg";25098520;15959867

"13th of Nov. 2019: 2018-Data on tax-free cash benefits, and thus "
"overall transfers and total income has been corrected since the "
"September release. "

