,areaname,population,date,newcasesbypublishdate,cases_per_100k
4120,West Midlands,2928000,01/10/2020,606,20.69672131147541
3584,South West,5616000,01/10/2020,169,3.0092592592592595
904,East of England,5847000,01/10/2020,275,4.703266632461091
4678,Wales,3136000,01/10/2020,398,12.691326530612246
1440,London,8899375,01/10/2020,551,6.191446028513239
5885,Scotland,5454000,01/10/2020,668,12.24789145581225
5285,Northern Ireland,1885000,01/10/2020,259,13.740053050397877
3048,South East,9175000,01/10/2020,268,2.9209809264305178
539,East of England,5847000,01/10/2021,2822,48.264067042928
4313,Wales,3136000,01/10/2021,3009,95.95025510204081
1611,North East,2597000,01/10/2021,1122,43.20369657296881
3219,South West,5616000,01/10/2021,2578,45.9045584045584
3755,West Midlands,2928000,01/10/2021,4203,143.54508196721312
5520,Scotland,5454000,01/10/2021,2693,49.37660432709937
2683,South East,9175000,01/10/2021,3148,34.310626702997276
2147,North West,7300000,01/10/2021,4169,57.109589041095894
4920,Northern Ireland,1885000,01/10/2021,1039,55.11936339522547
3,East Midlands,4533000,01/10/2021,3457,76.26296051180235
1075,London,8899375,01/10/2021,2195,24.664653416672518
1409,London,8899375,01/11/2020,2056,23.102745979352484
3553,South West,5616000,01/11/2020,1248,22.222222222222225
3017,South East,9175000,01/11/2020,1614,17.591280653950953
5254,Northern Ireland,1885000,01/11/2020,685,36.3395225464191
5854,Scotland,5454000,01/11/2020,1148,21.04877154382105
4647,Wales,3136000,01/11/2020,819,26.116071428571427
1945,North East,2597000,01/11/2020,1170,45.051983057373896
337,East Midlands,4533000,01/11/2020,2310,50.95962938451357
2481,North West,7300000,01/11/2020,4045,55.410958904109584
873,East of England,5847000,01/11/2020,936,16.008209338122114
4089,West Midlands,2928000,01/11/2020,3255,111.16803278688523
2987,South East,9175000,01/12/2020,1876,20.446866485013622
1915,North East,2597000,01/12/2020,638,24.56680785521756
4617,Wales,3136000,01/12/2020,667,21.269132653061224
5824,Scotland,5454000,01/12/2020,754,13.824715804913824
843,East of England,5847000,01/12/2020,930,15.905592611595692
5224,Northern Ireland,1885000,01/12/2020,391,20.74270557029178
3523,South West,5616000,01/12/2020,687,12.232905982905983
4059,West Midlands,2928000,01/12/2020,1435,49.009562841530055
1379,London,8899375,01/12/2020,1964,22.068965517241377
307,East Midlands,4533000,01/12/2020,1075,23.71497904257666
2451,North West,7300000,01/12/2020,1689,23.136986301369863
811,East of England,5847000,02/01/2021,6224,106.4477509834103
4585,Wales,3136000,02/01/2021,2764,88.13775510204081
